position_latitude,position_longitude,date,year,month
56.27166666666667,10.891666666666667,1991-02-13,1991,2
68.756,14.235333333333333,1991-02-13,1991,2
52.483333333333334,4.416666666666667,1991-01-29,1991,1
52.483333333333334,4.416666666666667,1991-01-29,1991,1
28.883333333333333,-89.358,1991-01-28,1991,1
28.883333333333333,-89.358,1991-01-28,1991,1
53.31666666666667,3.7333333333333334,1991-01-21,1991,1
53.31666666666667,3.7333333333333334,1991-01-21,1991,1
,,1991-01-18,1991,1
,,1991-01-18,1991,1
54.03,-3.595,1991-01-01,1991,1
54.03,-3.595,1991-01-01,1991,1
30.0,90.08333333333333,1990-12-17,1990,12
30.0,90.08333333333333,1990-12-17,1990,12
69.0,16.5,1990-12-12,1990,12
68.02133333333333,13.173666666666668,1990-11-20,1990,11
68.02133333333333,13.173666666666668,1990-11-20,1990,11
68.23333333333333,16.166666666666668,1990-11-13,1990,11
68.23333333333333,16.166666666666668,1990-11-13,1990,11
70.5175,23.251333333333335,1990-10-31,1990,10
60.333333333333336,5.2,1990-10-20,1990,10
60.333333333333336,5.2,1990-10-20,1990,10
63.451,10.805,1990-10-12,1990,10
63.451,10.805,1990-10-12,1990,10
62.370333333333335,5.633333333333334,1990-09-30,1990,9
67.5,-95.33333333333333,1990-09-28,1990,9
67.5,-95.33333333333333,1990-09-28,1990,9
29.334666666666667,-94.68466666666667,1990-09-11,1990,9
29.334666666666667,-94.68466666666667,1990-09-11,1990,9
50.3,162.03333333333333,1990-09-09,1990,9
50.3,162.03333333333333,1990-09-09,1990,9
64.03933333333333,10.023666666666667,1990-09-01,1990,9
64.03933333333333,10.023666666666667,1990-09-01,1990,9
53.37166666666667,4.6883333333333335,1990-09-01,1990,9
53.37166666666667,4.6883333333333335,1990-09-01,1990,9
58.038333333333334,4.455,1990-08-29,1990,8
58.038333333333334,4.455,1990-08-29,1990,8
59.38333333333333,5.288333333333333,1990-08-27,1990,8
59.38333333333333,5.288333333333333,1990-08-27,1990,8
43.35,-9.483333333333333,1990-08-25,1990,8
43.35,-9.483333333333333,1990-08-25,1990,8
59.916666666666664,10.75,1990-08-11,1990,8
59.916666666666664,10.75,1990-08-11,1990,8
35.88333333333333,-5.95,1990-08-06,1990,8
35.88333333333333,-5.95,1990-08-06,1990,8
37.46666666666667,128.6,1990-08-05,1990,8
37.46666666666667,128.6,1990-08-05,1990,8
28.83,-89.44333333333333,1990-06-30,1990,6
